FI Utilities Corp,MaturityDate,OfferingDate,State RegionFromPrimaryAddress,SeniorityLevel,CouponRate,CouponatOffer,OfferingAmount,Rating
IQT14184276,10/4/1996,1/2/1994,ME,Senior Unsecured,7.98,7.98,5,BBB-
IQT14181309,1/13/2014,1/4/1994,AL,Senior Unsecured,7.2,7.2,10,A+
IQT14181310,1/12/2009,1/5/1994,AL,Senior Unsecured,6.625,6.625,5,A+
IQT14185292,3/1/2004,1/7/1994,OH,Senior Secured,6.55,6.55,50,BBB+
IQT14181311,1/16/2006,1/7/1994,AL,Senior Unsecured,6.35,6.35,5,A+
IQT14185291,3/1/2024,1/7/1994,OH,Senior Secured,7.45,7.45,50,BBB+
IQT14183452,1/15/2014,1/10/1994,MA,Senior Unsecured,6.93,6.93,5,A
IQT14268748,1/21/2014,1/10/1994,GA,Senior Unsecured,7,7,5,A-
IQT14183453,1/15/2016,1/10/1994,MA,Senior Unsecured,6.93,6.93,5,A
IQT14183454,4/1/2016,1/10/1994,MA,Senior Unsecured,6.93,6.93,10,A
IQT14182541,1/18/2019,1/10/1994,GA,Senior Unsecured,7,7,5,A-
IQT14268240,1/18/2024,1/10/1994,IN,Senior Unsecured,7.42,7.42,12,A-
IQT14182542,1/18/2019,1/11/1994,GA,Senior Unsecured,7.1,7.1,38.5,A-
IQT14268241,1/19/2024,1/11/1994,IN,Senior Unsecured,7.42,7.42,8.55,A-
IQT14181312,1/15/1999,1/12/1994,AL,Senior Unsecured,5.4,5.4,3.15,A+
IQT14184015,1/15/2004,1/12/1994,NC,Senior Secured,5.875,5.875,150,A
IQT14193581,1/15/2006,1/12/1994,KS,Senior Secured,6.2,6.2,100,A-
IQT14204791,1/20/2009,1/12/1994,DC,Senior Unsecured,6.25,6.25,50,Unknown
IQT14183455,1/15/2019,1/12/1994,MA,Senior Unsecured,6.93,6.93,10,A
IQT14197619,1/15/2024,1/12/1994,DC,Senior Unsecured,7,7,50,Unknown
IQT14183456,1/15/2024,1/12/1994,MA,Senior Unsecured,6.98,6.98,6,A
IQT14184274,7/22/1996,1/13/1994,ME,Senior Unsecured,5.75,5.75,9,BB+
IQT14197770,1/1/2001,1/18/1994,CO,Senior Secured,6,6,102.667,BBB+
IQT14197771,1/1/2024,1/18/1994,CO,Senior Secured,7.25,7.25,110,BBB+
IQT14201999,1/1/2024,1/18/1994,VA,Senior Secured,7,7,125,A
IQT14247214,1/26/2006,1/19/1994,OH,Senior Secured,6.35,6.35,40,A
IQT14247215,1/26/2009,1/19/1994,OH,Senior Secured,6.55,6.55,50,A
IQT14247298,1/26/2009,1/19/1994,OH,Senior Secured,6.55,6.55,1,A
IQT39278708,1/1/2024,1/19/1994,WY,Senior Secured,7.5,7.5,0,Unknown
IQT14182543,1/27/2015,1/20/1994,GA,Senior Unsecured,7,7,11.25,A-
IQT14204062,2/1/2024,1/20/1994,WA,Senior Secured,7.35,7.35,55,Unknown
IQT14186817,2/1/2004,1/25/1994,TX,Senior Unsecured,6.375,6.375,150,BBB
IQT14192783,2/1/2004,1/25/1994,IN,Senior Secured,6.05,6.05,80,AA-
IQT14192784,2/1/2024,1/25/1994,IN,Senior Secured,7.05,7.05,100,AA-
IQT14204670,2/2/2024,1/31/1994,RI,Senior Secured,7.05,7.05,5,A+
IQT14204441,2/2/2024,2/1/1994,MA,Senior Secured,7.05,7.05,10,A+
IQT14246646,2/8/2006,2/2/1994,OH,Senior Secured,6.36,6.36,17,A-
IQT14246897,2/9/2006,2/2/1994,OH,Senior Secured,6.4,6.4,33,A-
IQT14185584,2/1/1999,2/3/1994,CT,Senior Secured,5.5,5.5,140,BBB+
IQT14185585,2/1/2004,2/3/1994,CT,Senior Secured,6.125,6.125,140,BBB+
IQT14184862,2/15/1999,2/7/1994,OH,Senior Secured,5.8,5.8,110,BBB+
IQT14184863,2/15/2004,2/7/1994,OH,Senior Secured,6.45,6.45,110,BBB+
IQT14185637,2/15/2029,2/8/1994,NY,Senior Unsecured,7.125,7.125,150,AA-
IQT14196077,2/1/1999,2/10/1994,MN,Senior Secured,5.5,5.5,200,AA-
IQT14202259,2/1/2004,2/16/1994,OH,Senior Secured,6.125,6.125,40,AA-
IQT14196754,2/1/2024,2/16/1994,IN,Senior Secured,7.125,7.125,50,BBB+
IQT14197157,3/1/2006,2/17/1994,PA,Senior Secured,6.55,6.55,150,A
IQT14197158,3/1/2024,2/17/1994,PA,Senior Secured,7.3,7.3,150,A
IQT14289485,3/1/2024,2/18/1994,OH,Senior Secured,7.5,7.5,25,BBB+
IQT14182175,3/1/2004,2/23/1994,AZ,Senior Secured,6.625,6.625,100,BBB
IQT14185293,5/1/2004,2/23/1994,OH,Senior Secured,6.75,6.75,50,BBB+
